DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,27685,0
Syphilis (A50-A53),Adams,0,27685,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,0,27685,4
Malignant neoplasm of stomach (C16),Adams,1,27685,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,12,27685,8
Malignant neoplasm of pancreas (C25),Adams,7,27685,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,33,27685,12
Malignant neoplasm of breast (C50),Adams,2,27685,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,3,27685,16
Malignant neoplasm of prostate (C61),Adams,3,27685,18
Malignant neoplasms of urinary tract (C64-C68),Adams,6,27685,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,4,27685,22
Leukemia (C91-C95),Adams,5,27685,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,18,27685,26
Diabetes mellitus (E10-E14),Adams,10,27685,28
Alzheimer’s disease (G30),Adams,12,27685,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,5,27685,32
Ischemic heart diseases (I20-I25),Adams,33,27685,34
Other diseases of heart (I00-I09I26-I51),Adams,22,27685,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,1,27685,38
Cerebrovascular diseases (I60-I69),Adams,18,27685,40
Atherosclerosis (I70),Adams,0,27685,42
Other diseases of circulatory system (I71-I78),Adams,3,27685,44
Influenza and pneumonia (J09-J18),Adams,3,27685,46
Chronic lower respiratory diseases (J40-J47),Adams,28,27685,48
Peptic ulcer (K25-K28),Adams,0,27685,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,2,27685,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,5,27685,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,27685,56
Certain conditions originating in the perinatal period (P00-P96),Adams,0,27685,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,0,27685,60
Sudden infant death syndrome (R95),Adams,0,27685,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,13,27685,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,55,27685,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,6,27685,68
