DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,145803,0
Syphilis (A50-A53),< 1,0,145803,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,145803,4
Malignant neoplasm of stomach (C16),< 1,0,145803,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,145803,8
Malignant neoplasm of pancreas (C25),< 1,0,145803,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,145803,12
Malignant neoplasm of breast (C50),< 1,0,145803,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,145803,16
Malignant neoplasm of prostate (C61),< 1,0,145803,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,145803,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,145803,22
Leukemia (C91-C95),< 1,0,145803,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,2,145803,26
Diabetes mellitus (E10-E14),< 1,1,145803,28
Alzheimer’s disease (G30),< 1,0,145803,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,145803,32
Ischemic heart diseases (I20-I25),< 1,1,145803,34
Other diseases of heart (I00-I09I26-I51),< 1,11,145803,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,145803,38
Cerebrovascular diseases (I60-I69),< 1,10,145803,40
Atherosclerosis (I70),< 1,0,145803,42
Other diseases of circulatory system (I71-I78),< 1,1,145803,44
Influenza and pneumonia (J09-J18),< 1,11,145803,46
Chronic lower respiratory diseases (J40-J47),< 1,0,145803,48
Peptic ulcer (K25-K28),< 1,0,145803,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,145803,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,6,145803,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,145803,56
Certain conditions originating in the perinatal period (P00-P96),< 1,561,145803,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,209,145803,60
Sudden infant death syndrome (R95),< 1,79,145803,62
