DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,135805,0
Syphilis (A50-A53),< 1,0,135805,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,135805,4
Malignant neoplasm of stomach (C16),< 1,0,135805,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,135805,8
Malignant neoplasm of pancreas (C25),< 1,0,135805,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,135805,12
Malignant neoplasm of breast (C50),< 1,0,135805,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,135805,16
Malignant neoplasm of prostate (C61),< 1,0,135805,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,135805,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,135805,22
Leukemia (C91-C95),< 1,0,135805,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,0,135805,26
Diabetes mellitus (E10-E14),< 1,0,135805,28
Alzheimer’s disease (G30),< 1,0,135805,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,135805,32
Ischemic heart diseases (I20-I25),< 1,1,135805,34
Other diseases of heart (I00-I09I26-I51),< 1,14,135805,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,135805,38
Cerebrovascular diseases (I60-I69),< 1,5,135805,40
Atherosclerosis (I70),< 1,0,135805,42
Other diseases of circulatory system (I71-I78),< 1,0,135805,44
Influenza and pneumonia (J09-J18),< 1,5,135805,46
Chronic lower respiratory diseases (J40-J47),< 1,0,135805,48
Peptic ulcer (K25-K28),< 1,0,135805,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,135805,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,5,135805,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,135805,56
Certain conditions originating in the perinatal period (P00-P96),< 1,529,135805,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,179,135805,60
Sudden infant death syndrome (R95),< 1,67,135805,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),< 1,29,135805,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),< 1,67,135805,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),< 1,3,135805,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),< 1,61,135805,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),< 1,0,135805,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),< 1,13,135805,74
All other external causes (Y10-Y36Y87.2Y89),< 1,4,135805,76
Tuberculosis (A16-A19),1-4,0,563082,80
Syphilis (A50-A53),1-4,0,563082,82
Human immunodeficiency virus (HIV) disease (B20-B24),1-4,0,563082,84
Malignant neoplasm of stomach (C16),1-4,0,563082,86
Malignant neoplasms of colon rectum and anus (C18-C21),1-4,0,563082,88
Malignant neoplasm of pancreas (C25),1-4,0,563082,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),1-4,0,563082,92
Malignant neoplasm of breast (C50),1-4,0,563082,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),1-4,0,563082,96
Malignant neoplasm of prostate (C61),1-4,0,563082,98
Malignant neoplasms of urinary tract (C64-C68),1-4,0,563082,100
Non-Hodgkin’s lymphoma (C82-C85),1-4,1,563082,102
Leukemia (C91-C95),1-4,0,563082,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,4,563082,106
Diabetes mellitus (E10-E14),1-4,0,563082,108
Alzheimer’s disease (G30),1-4,0,563082,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,563082,112
Ischemic heart diseases (I20-I25),1-4,0,563082,114
Other diseases of heart (I00-I09I26-I51),1-4,8,563082,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,563082,118
Cerebrovascular diseases (I60-I69),1-4,6,563082,120
Atherosclerosis (I70),1-4,0,563082,122
Other diseases of circulatory system (I71-I78),1-4,0,563082,124
Influenza and pneumonia (J09-J18),1-4,2,563082,126
Chronic lower respiratory diseases (J40-J47),1-4,2,563082,128
Peptic ulcer (K25-K28),1-4,0,563082,130
Chronic liver disease and cirrhosis (K70K73-K74),1-4,0,563082,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),1-4,0,563082,134
Pregnancy childbirth and the puerperium (O00-O99),1-4,0,563082,136
Certain conditions originating in the perinatal period (P00-P96),1-4,0,563082,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1-4,17,563082,140
Sudden infant death syndrome (R95),1-4,0,563082,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),1-4,8,563082,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),1-4,26,563082,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1-4,22,563082,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),1-4,37,563082,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),1-4,0,563082,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),1-4,14,563082,154
All other external causes (Y10-Y36Y87.2Y89),1-4,8,563082,156
Tuberculosis (A16-A19),5-14,0,1450484,160
Syphilis (A50-A53),5-14,0,1450484,162
Human immunodeficiency virus (HIV) disease (B20-B24),5-14,0,1450484,164
Malignant neoplasm of stomach (C16),5-14,0,1450484,166
Malignant neoplasms of colon rectum and anus (C18-C21),5-14,0,1450484,168
Malignant neoplasm of pancreas (C25),5-14,0,1450484,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),5-14,0,1450484,172
Malignant neoplasm of breast (C50),5-14,0,1450484,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),5-14,0,1450484,176
Malignant neoplasm of prostate (C61),5-14,0,1450484,178
Malignant neoplasms of urinary tract (C64-C68),5-14,2,1450484,180
Non-Hodgkin’s lymphoma (C82-C85),5-14,2,1450484,182
Leukemia (C91-C95),5-14,3,1450484,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),5-14,27,1450484,186
Diabetes mellitus (E10-E14),5-14,1,1450484,188
Alzheimer’s disease (G30),5-14,0,1450484,190
Hypertensive heart disease with or without renal disease (I11I13),5-14,0,1450484,192
Ischemic heart diseases (I20-I25),5-14,0,1450484,194
Other diseases of heart (I00-I09I26-I51),5-14,8,1450484,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),5-14,0,1450484,198
Cerebrovascular diseases (I60-I69),5-14,5,1450484,200
Atherosclerosis (I70),5-14,0,1450484,202
Other diseases of circulatory system (I71-I78),5-14,2,1450484,204
Influenza and pneumonia (J09-J18),5-14,4,1450484,206
Chronic lower respiratory diseases (J40-J47),5-14,6,1450484,208
Peptic ulcer (K25-K28),5-14,0,1450484,210
Chronic liver disease and cirrhosis (K70K73-K74),5-14,0,1450484,212
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),5-14,0,1450484,214
Pregnancy childbirth and the puerperium (O00-O99),5-14,0,1450484,216
Certain conditions originating in the perinatal period (P00-P96),5-14,0,1450484,218
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),5-14,17,1450484,220
Sudden infant death syndrome (R95),5-14,0,1450484,222
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),5-14,5,1450484,224
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),5-14,40,1450484,226
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),5-14,25,1450484,228
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),5-14,24,1450484,230
Intentional self-harm (suicide) (*U03X60-X84Y87.0),5-14,27,1450484,232
Assault (homicide) (*U01-*U02X85-Y09Y87.1),5-14,20,1450484,234
All other external causes (Y10-Y36Y87.2Y89),5-14,3,1450484,236
Tuberculosis (A16-A19),15-24,0,1534354,240
Syphilis (A50-A53),15-24,0,1534354,242
Human immunodeficiency virus (HIV) disease (B20-B24),15-24,2,1534354,244
Malignant neoplasm of stomach (C16),15-24,1,1534354,246
Malignant neoplasms of colon rectum and anus (C18-C21),15-24,4,1534354,248
Malignant neoplasm of pancreas (C25),15-24,1,1534354,250
Malignant neoplasms of trachea bronchus and lung (C33-C34),15-24,0,1534354,252
Malignant neoplasm of breast (C50),15-24,0,1534354,254
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),15-24,2,1534354,256
Malignant neoplasm of prostate (C61),15-24,0,1534354,258
Malignant neoplasms of urinary tract (C64-C68),15-24,1,1534354,260
Non-Hodgkin’s lymphoma (C82-C85),15-24,5,1534354,262
Leukemia (C91-C95),15-24,11,1534354,264
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),15-24,27,1534354,266
Diabetes mellitus (E10-E14),15-24,18,1534354,268
Alzheimer’s disease (G30),15-24,0,1534354,270
Hypertensive heart disease with or without renal disease (I11I13),15-24,4,1534354,272
Ischemic heart diseases (I20-I25),15-24,5,1534354,274
Other diseases of heart (I00-I09I26-I51),15-24,36,1534354,276
Essential (primary) hypertension and hypertensive renal disease (I10I12),15-24,0,1534354,278
Cerebrovascular diseases (I60-I69),15-24,9,1534354,280
Atherosclerosis (I70),15-24,0,1534354,282
Other diseases of circulatory system (I71-I78),15-24,2,1534354,284
Influenza and pneumonia (J09-J18),15-24,5,1534354,286
Chronic lower respiratory diseases (J40-J47),15-24,8,1534354,288
Peptic ulcer (K25-K28),15-24,0,1534354,290
Chronic liver disease and cirrhosis (K70K73-K74),15-24,1,1534354,292
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),15-24,1,1534354,294
Pregnancy childbirth and the puerperium (O00-O99),15-24,7,1534354,296
Certain conditions originating in the perinatal period (P00-P96),15-24,0,1534354,298
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),15-24,14,1534354,300
