DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,133311,0
Syphilis (A50-A53),< 1,0,133311,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,133311,4
Malignant neoplasm of stomach (C16),< 1,0,133311,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,133311,8
Malignant neoplasm of pancreas (C25),< 1,0,133311,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,133311,12
Malignant neoplasm of breast (C50),< 1,0,133311,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,133311,16
Malignant neoplasm of prostate (C61),< 1,0,133311,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,133311,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,133311,22
Leukemia (C91-C95),< 1,0,133311,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,0,133311,26
Diabetes mellitus (E10-E14),< 1,0,133311,28
Alzheimer’s disease (G30),< 1,0,133311,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,133311,32
Ischemic heart diseases (I20-I25),< 1,0,133311,34
Other diseases of heart (I00-I09I26-I51),< 1,12,133311,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,133311,38
Cerebrovascular diseases (I60-I69),< 1,8,133311,40
Atherosclerosis (I70),< 1,0,133311,42
Other diseases of circulatory system (I71-I78),< 1,0,133311,44
Influenza and pneumonia (J09-J18),< 1,4,133311,46
Chronic lower respiratory diseases (J40-J47),< 1,5,133311,48
Peptic ulcer (K25-K28),< 1,0,133311,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,133311,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,1,133311,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,133311,56
Certain conditions originating in the perinatal period (P00-P96),< 1,461,133311,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,181,133311,60
Sudden infant death syndrome (R95),< 1,54,133311,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),< 1,22,133311,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),< 1,66,133311,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),< 1,1,133311,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),< 1,96,133311,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),< 1,0,133311,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),< 1,10,133311,74
All other external causes (Y10-Y36Y87.2Y89),< 1,8,133311,76
Tuberculosis (A16-A19),1-4,0,558265,80
Syphilis (A50-A53),1-4,0,558265,82
Human immunodeficiency virus (HIV) disease (B20-B24),1-4,0,558265,84
Malignant neoplasm of stomach (C16),1-4,0,558265,86
Malignant neoplasms of colon rectum and anus (C18-C21),1-4,0,558265,88
Malignant neoplasm of pancreas (C25),1-4,0,558265,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),1-4,0,558265,92
Malignant neoplasm of breast (C50),1-4,0,558265,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),1-4,0,558265,96
Malignant neoplasm of prostate (C61),1-4,0,558265,98
Malignant neoplasms of urinary tract (C64-C68),1-4,0,558265,100
Non-Hodgkin’s lymphoma (C82-C85),1-4,1,558265,102
Leukemia (C91-C95),1-4,1,558265,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,4,558265,106
Diabetes mellitus (E10-E14),1-4,0,558265,108
Alzheimer’s disease (G30),1-4,0,558265,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,558265,112
Ischemic heart diseases (I20-I25),1-4,0,558265,114
Other diseases of heart (I00-I09I26-I51),1-4,6,558265,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,558265,118
Cerebrovascular diseases (I60-I69),1-4,2,558265,120
Atherosclerosis (I70),1-4,0,558265,122
Other diseases of circulatory system (I71-I78),1-4,0,558265,124
Influenza and pneumonia (J09-J18),1-4,6,558265,126
Chronic lower respiratory diseases (J40-J47),1-4,1,558265,128
Peptic ulcer (K25-K28),1-4,0,558265,130
Chronic liver disease and cirrhosis (K70K73-K74),1-4,0,558265,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),1-4,1,558265,134
Pregnancy childbirth and the puerperium (O00-O99),1-4,0,558265,136
Certain conditions originating in the perinatal period (P00-P96),1-4,1,558265,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1-4,14,558265,140
Sudden infant death syndrome (R95),1-4,0,558265,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),1-4,5,558265,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),1-4,35,558265,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1-4,10,558265,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),1-4,38,558265,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),1-4,0,558265,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),1-4,13,558265,154
All other external causes (Y10-Y36Y87.2Y89),1-4,3,558265,156
Tuberculosis (A16-A19),5-14,0,1442043,160
Syphilis (A50-A53),5-14,0,1442043,162
Human immunodeficiency virus (HIV) disease (B20-B24),5-14,1,1442043,164
Malignant neoplasm of stomach (C16),5-14,0,1442043,166
Malignant neoplasms of colon rectum and anus (C18-C21),5-14,0,1442043,168
Malignant neoplasm of pancreas (C25),5-14,0,1442043,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),5-14,0,1442043,172
Malignant neoplasm of breast (C50),5-14,0,1442043,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),5-14,0,1442043,176
Malignant neoplasm of prostate (C61),5-14,0,1442043,178
Malignant neoplasms of urinary tract (C64-C68),5-14,1,1442043,180
Non-Hodgkin’s lymphoma (C82-C85),5-14,2,1442043,182
Leukemia (C91-C95),5-14,5,1442043,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),5-14,16,1442043,186
Diabetes mellitus (E10-E14),5-14,2,1442043,188
Alzheimer’s disease (G30),5-14,0,1442043,190
Hypertensive heart disease with or without renal disease (I11I13),5-14,0,1442043,192
Ischemic heart diseases (I20-I25),5-14,0,1442043,194
Other diseases of heart (I00-I09I26-I51),5-14,3,1442043,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),5-14,0,1442043,198
Cerebrovascular diseases (I60-I69),5-14,3,1442043,200
