DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,27640,0
Syphilis (A50-A53),Adams,0,27640,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,1,27640,4
Malignant neoplasm of stomach (C16),Adams,3,27640,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,8,27640,8
Malignant neoplasm of pancreas (C25),Adams,2,27640,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,36,27640,12
Malignant neoplasm of breast (C50),Adams,2,27640,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,4,27640,16
Malignant neoplasm of prostate (C61),Adams,1,27640,18
Malignant neoplasms of urinary tract (C64-C68),Adams,8,27640,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,1,27640,22
Leukemia (C91-C95),Adams,6,27640,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,28,27640,26
Diabetes mellitus (E10-E14),Adams,6,27640,28
Alzheimer’s disease (G30),Adams,13,27640,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,1,27640,32
Ischemic heart diseases (I20-I25),Adams,64,27640,34
Other diseases of heart (I00-I09I26-I51),Adams,25,27640,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,9,27640,38
Cerebrovascular diseases (I60-I69),Adams,13,27640,40
Atherosclerosis (I70),Adams,0,27640,42
Other diseases of circulatory system (I71-I78),Adams,1,27640,44
Influenza and pneumonia (J09-J18),Adams,7,27640,46
Chronic lower respiratory diseases (J40-J47),Adams,31,27640,48
Peptic ulcer (K25-K28),Adams,0,27640,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,4,27640,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,7,27640,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,27640,56
Certain conditions originating in the perinatal period (P00-P96),Adams,0,27640,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,2,27640,60
Sudden infant death syndrome (R95),Adams,0,27640,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,11,27640,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,75,27640,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,2,27640,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Adams,16,27640,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Adams,8,27640,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Adams,1,27640,74
All other external causes (Y10-Y36Y87.2Y89),Adams,0,27640,76
Tuberculosis (A16-A19),Allen,0,102450,80
Syphilis (A50-A53),Allen,0,102450,82
Human immunodeficiency virus (HIV) disease (B20-B24),Allen,1,102450,84
Malignant neoplasm of stomach (C16),Allen,4,102450,86
Malignant neoplasms of colon rectum and anus (C18-C21),Allen,14,102450,88
Malignant neoplasm of pancreas (C25),Allen,17,102450,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),Allen,63,102450,92
Malignant neoplasm of breast (C50),Allen,12,102450,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Allen,10,102450,96
Malignant neoplasm of prostate (C61),Allen,11,102450,98
Malignant neoplasms of urinary tract (C64-C68),Allen,14,102450,100
Non-Hodgkin’s lymphoma (C82-C85),Allen,7,102450,102
Leukemia (C91-C95),Allen,7,102450,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Allen,80,102450,106
Diabetes mellitus (E10-E14),Allen,29,102450,108
Alzheimer’s disease (G30),Allen,47,102450,110
Hypertensive heart disease with or without renal disease (I11I13),Allen,17,102450,112
Ischemic heart diseases (I20-I25),Allen,214,102450,114
Other diseases of heart (I00-I09I26-I51),Allen,80,102450,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),Allen,14,102450,118
Cerebrovascular diseases (I60-I69),Allen,64,102450,120
Atherosclerosis (I70),Allen,4,102450,122
Other diseases of circulatory system (I71-I78),Allen,11,102450,124
Influenza and pneumonia (J09-J18),Allen,13,102450,126
Chronic lower respiratory diseases (J40-J47),Allen,73,102450,128
Peptic ulcer (K25-K28),Allen,2,102450,130
Chronic liver disease and cirrhosis (K70K73-K74),Allen,17,102450,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Allen,17,102450,134
Pregnancy childbirth and the puerperium (O00-O99),Allen,0,102450,136
Certain conditions originating in the perinatal period (P00-P96),Allen,4,102450,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Allen,2,102450,140
Sudden infant death syndrome (R95),Allen,0,102450,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Allen,5,102450,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Allen,255,102450,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Allen,13,102450,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Allen,45,102450,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Allen,10,102450,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Allen,7,102450,154
All other external causes (Y10-Y36Y87.2Y89),Allen,2,102450,156
Tuberculosis (A16-A19),Ashland,0,53418,160
Syphilis (A50-A53),Ashland,0,53418,162
Human immunodeficiency virus (HIV) disease (B20-B24),Ashland,0,53418,164
Malignant neoplasm of stomach (C16),Ashland,0,53418,166
Malignant neoplasms of colon rectum and anus (C18-C21),Ashland,12,53418,168
Malignant neoplasm of pancreas (C25),Ashland,11,53418,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),Ashland,23,53418,172
