DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,27531,0
Syphilis (A50-A53),Adams,0,27531,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,0,27531,4
Malignant neoplasm of stomach (C16),Adams,2,27531,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,10,27531,8
Malignant neoplasm of pancreas (C25),Adams,4,27531,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,18,27531,12
Malignant neoplasm of breast (C50),Adams,2,27531,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,3,27531,16
Malignant neoplasm of prostate (C61),Adams,2,27531,18
Malignant neoplasms of urinary tract (C64-C68),Adams,4,27531,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,5,27531,22
Leukemia (C91-C95),Adams,2,27531,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,21,27531,26
Diabetes mellitus (E10-E14),Adams,20,27531,28
Alzheimer’s disease (G30),Adams,19,27531,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,4,27531,32
Ischemic heart diseases (I20-I25),Adams,65,27531,34
Other diseases of heart (I00-I09I26-I51),Adams,43,27531,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,1,27531,38
Cerebrovascular diseases (I60-I69),Adams,27,27531,40
Atherosclerosis (I70),Adams,0,27531,42
Other diseases of circulatory system (I71-I78),Adams,2,27531,44
Influenza and pneumonia (J09-J18),Adams,15,27531,46
Chronic lower respiratory diseases (J40-J47),Adams,30,27531,48
Peptic ulcer (K25-K28),Adams,0,27531,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,2,27531,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,8,27531,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,27531,56
Certain conditions originating in the perinatal period (P00-P96),Adams,4,27531,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,3,27531,60
Sudden infant death syndrome (R95),Adams,0,27531,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,5,27531,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,152,27531,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,6,27531,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Adams,23,27531,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Adams,8,27531,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Adams,3,27531,74
All other external causes (Y10-Y36Y87.2Y89),Adams,1,27531,76
Tuberculosis (A16-A19),Allen,0,101980,80
Syphilis (A50-A53),Allen,0,101980,82
Human immunodeficiency virus (HIV) disease (B20-B24),Allen,0,101980,84
Malignant neoplasm of stomach (C16),Allen,1,101980,86
Malignant neoplasms of colon rectum and anus (C18-C21),Allen,21,101980,88
Malignant neoplasm of pancreas (C25),Allen,20,101980,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),Allen,43,101980,92
Malignant neoplasm of breast (C50),Allen,10,101980,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Allen,9,101980,96
Malignant neoplasm of prostate (C61),Allen,14,101980,98
Malignant neoplasms of urinary tract (C64-C68),Allen,12,101980,100
Non-Hodgkin’s lymphoma (C82-C85),Allen,3,101980,102
Leukemia (C91-C95),Allen,7,101980,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Allen,54,101980,106
Diabetes mellitus (E10-E14),Allen,34,101980,108
Alzheimer’s disease (G30),Allen,47,101980,110
Hypertensive heart disease with or without renal disease (I11I13),Allen,23,101980,112
Ischemic heart diseases (I20-I25),Allen,199,101980,114
Other diseases of heart (I00-I09I26-I51),Allen,91,101980,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),Allen,24,101980,118
Cerebrovascular diseases (I60-I69),Allen,60,101980,120
Atherosclerosis (I70),Allen,3,101980,122
Other diseases of circulatory system (I71-I78),Allen,8,101980,124
Influenza and pneumonia (J09-J18),Allen,27,101980,126
Chronic lower respiratory diseases (J40-J47),Allen,60,101980,128
Peptic ulcer (K25-K28),Allen,2,101980,130
Chronic liver disease and cirrhosis (K70K73-K74),Allen,12,101980,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Allen,14,101980,134
Pregnancy childbirth and the puerperium (O00-O99),Allen,0,101980,136
Certain conditions originating in the perinatal period (P00-P96),Allen,0,101980,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Allen,6,101980,140
Sudden infant death syndrome (R95),Allen,0,101980,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Allen,20,101980,144
