DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,27747,0
Syphilis (A50-A53),Adams,0,27747,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,0,27747,4
Malignant neoplasm of stomach (C16),Adams,3,27747,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,6,27747,8
Malignant neoplasm of pancreas (C25),Adams,4,27747,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,29,27747,12
Malignant neoplasm of breast (C50),Adams,3,27747,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,1,27747,16
Malignant neoplasm of prostate (C61),Adams,5,27747,18
Malignant neoplasms of urinary tract (C64-C68),Adams,2,27747,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,5,27747,22
Leukemia (C91-C95),Adams,5,27747,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,14,27747,26
Diabetes mellitus (E10-E14),Adams,6,27747,28
Alzheimer’s disease (G30),Adams,11,27747,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,1,27747,32
Ischemic heart diseases (I20-I25),Adams,48,27747,34
Other diseases of heart (I00-I09I26-I51),Adams,27,27747,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,2,27747,38
Cerebrovascular diseases (I60-I69),Adams,20,27747,40
Atherosclerosis (I70),Adams,0,27747,42
Other diseases of circulatory system (I71-I78),Adams,3,27747,44
Influenza and pneumonia (J09-J18),Adams,3,27747,46
Chronic lower respiratory diseases (J40-J47),Adams,32,27747,48
Peptic ulcer (K25-K28),Adams,0,27747,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,5,27747,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,9,27747,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,1,27747,56
Certain conditions originating in the perinatal period (P00-P96),Adams,0,27747,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,2,27747,60
