DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,135979,0
Syphilis (A50-A53),< 1,0,135979,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,135979,4
Malignant neoplasm of stomach (C16),< 1,0,135979,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,135979,8
Malignant neoplasm of pancreas (C25),< 1,0,135979,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,135979,12
Malignant neoplasm of breast (C50),< 1,0,135979,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,135979,16
Malignant neoplasm of prostate (C61),< 1,0,135979,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,135979,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,135979,22
Leukemia (C91-C95),< 1,0,135979,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,0,135979,26
Diabetes mellitus (E10-E14),< 1,0,135979,28
Alzheimer’s disease (G30),< 1,0,135979,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,135979,32
Ischemic heart diseases (I20-I25),< 1,0,135979,34
Other diseases of heart (I00-I09I26-I51),< 1,12,135979,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,135979,38
Cerebrovascular diseases (I60-I69),< 1,4,135979,40
Atherosclerosis (I70),< 1,0,135979,42
Other diseases of circulatory system (I71-I78),< 1,1,135979,44
Influenza and pneumonia (J09-J18),< 1,7,135979,46
Chronic lower respiratory diseases (J40-J47),< 1,3,135979,48
Peptic ulcer (K25-K28),< 1,0,135979,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,135979,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,4,135979,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,135979,56
Certain conditions originating in the perinatal period (P00-P96),< 1,458,135979,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,198,135979,60
Sudden infant death syndrome (R95),< 1,79,135979,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),< 1,30,135979,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),< 1,46,135979,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),< 1,5,135979,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),< 1,71,135979,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),< 1,0,135979,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),< 1,15,135979,74
All other external causes (Y10-Y36Y87.2Y89),< 1,5,135979,76
Tuberculosis (A16-A19),1-4,0,560839,80
Syphilis (A50-A53),1-4,0,560839,82
Human immunodeficiency virus (HIV) disease (B20-B24),1-4,0,560839,84
Malignant neoplasm of stomach (C16),1-4,0,560839,86
Malignant neoplasms of colon rectum and anus (C18-C21),1-4,0,560839,88
Malignant neoplasm of pancreas (C25),1-4,0,560839,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),1-4,0,560839,92
Malignant neoplasm of breast (C50),1-4,0,560839,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),1-4,0,560839,96
Malignant neoplasm of prostate (C61),1-4,0,560839,98
Malignant neoplasms of urinary tract (C64-C68),1-4,0,560839,100
Non-Hodgkin’s lymphoma (C82-C85),1-4,1,560839,102
Leukemia (C91-C95),1-4,3,560839,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,12,560839,106
Diabetes mellitus (E10-E14),1-4,1,560839,108
Alzheimer’s disease (G30),1-4,0,560839,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,560839,112
Ischemic heart diseases (I20-I25),1-4,0,560839,114
Other diseases of heart (I00-I09I26-I51),1-4,3,560839,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,560839,118
Cerebrovascular diseases (I60-I69),1-4,3,560839,120
Atherosclerosis (I70),1-4,0,560839,122
Other diseases of circulatory system (I71-I78),1-4,0,560839,124
Influenza and pneumonia (J09-J18),1-4,8,560839,126
Chronic lower respiratory diseases (J40-J47),1-4,2,560839,128
Peptic ulcer (K25-K28),1-4,0,560839,130
