DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,138761,0
Syphilis (A50-A53),< 1,0,138761,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,138761,4
Malignant neoplasm of stomach (C16),< 1,0,138761,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,138761,8
Malignant neoplasm of pancreas (C25),< 1,0,138761,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,138761,12
Malignant neoplasm of breast (C50),< 1,0,138761,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,138761,16
Malignant neoplasm of prostate (C61),< 1,0,138761,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,138761,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,138761,22
Leukemia (C91-C95),< 1,0,138761,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,1,138761,26
Diabetes mellitus (E10-E14),< 1,0,138761,28
Alzheimer’s disease (G30),< 1,0,138761,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,138761,32
Ischemic heart diseases (I20-I25),< 1,0,138761,34
Other diseases of heart (I00-I09I26-I51),< 1,12,138761,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,138761,38
Cerebrovascular diseases (I60-I69),< 1,4,138761,40
Atherosclerosis (I70),< 1,0,138761,42
Other diseases of circulatory system (I71-I78),< 1,0,138761,44
Influenza and pneumonia (J09-J18),< 1,9,138761,46
Chronic lower respiratory diseases (J40-J47),< 1,0,138761,48
Peptic ulcer (K25-K28),< 1,0,138761,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,138761,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,4,138761,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,138761,56
Certain conditions originating in the perinatal period (P00-P96),< 1,519,138761,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,192,138761,60
Sudden infant death syndrome (R95),< 1,71,138761,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),< 1,22,138761,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),< 1,65,138761,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),< 1,1,138761,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),< 1,43,138761,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),< 1,0,138761,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),< 1,12,138761,74
All other external causes (Y10-Y36Y87.2Y89),< 1,0,138761,76
Tuberculosis (A16-A19),1-4,0,558568,80
Syphilis (A50-A53),1-4,0,558568,82
Human immunodeficiency virus (HIV) disease (B20-B24),1-4,0,558568,84
Malignant neoplasm of stomach (C16),1-4,0,558568,86
Malignant neoplasms of colon rectum and anus (C18-C21),1-4,0,558568,88
Malignant neoplasm of pancreas (C25),1-4,0,558568,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),1-4,0,558568,92
Malignant neoplasm of breast (C50),1-4,0,558568,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),1-4,0,558568,96
Malignant neoplasm of prostate (C61),1-4,0,558568,98
Malignant neoplasms of urinary tract (C64-C68),1-4,0,558568,100
Non-Hodgkin’s lymphoma (C82-C85),1-4,0,558568,102
Leukemia (C91-C95),1-4,7,558568,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,6,558568,106
Diabetes mellitus (E10-E14),1-4,0,558568,108
Alzheimer’s disease (G30),1-4,0,558568,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,558568,112
Ischemic heart diseases (I20-I25),1-4,0,558568,114
Other diseases of heart (I00-I09I26-I51),1-4,6,558568,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,558568,118
Cerebrovascular diseases (I60-I69),1-4,3,558568,120
Atherosclerosis (I70),1-4,0,558568,122
Other diseases of circulatory system (I71-I78),1-4,0,558568,124
Influenza and pneumonia (J09-J18),1-4,1,558568,126
Chronic lower respiratory diseases (J40-J47),1-4,0,558568,128
Peptic ulcer (K25-K28),1-4,0,558568,130
Chronic liver disease and cirrhosis (K70K73-K74),1-4,0,558568,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),1-4,0,558568,134
Pregnancy childbirth and the puerperium (O00-O99),1-4,0,558568,136
Certain conditions originating in the perinatal period (P00-P96),1-4,3,558568,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1-4,17,558568,140
Sudden infant death syndrome (R95),1-4,0,558568,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),1-4,4,558568,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),1-4,39,558568,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1-4,10,558568,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),1-4,23,558568,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),1-4,0,558568,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),1-4,11,558568,154
All other external causes (Y10-Y36Y87.2Y89),1-4,1,558568,156
Tuberculosis (A16-A19),5-14,0,1483558,160
Syphilis (A50-A53),5-14,0,1483558,162
