DeathCOD39ICDCode39Desc,DeathAgeGroupNCHSAgeNCHS,Deaths,Population,SORT
Tuberculosis (A16-A19),< 1,0,138790,0
Syphilis (A50-A53),< 1,0,138790,2
Human immunodeficiency virus (HIV) disease (B20-B24),< 1,0,138790,4
Malignant neoplasm of stomach (C16),< 1,0,138790,6
Malignant neoplasms of colon rectum and anus (C18-C21),< 1,0,138790,8
Malignant neoplasm of pancreas (C25),< 1,0,138790,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),< 1,0,138790,12
Malignant neoplasm of breast (C50),< 1,0,138790,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),< 1,0,138790,16
Malignant neoplasm of prostate (C61),< 1,0,138790,18
Malignant neoplasms of urinary tract (C64-C68),< 1,0,138790,20
Non-Hodgkin’s lymphoma (C82-C85),< 1,0,138790,22
Leukemia (C91-C95),< 1,2,138790,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),< 1,0,138790,26
Diabetes mellitus (E10-E14),< 1,0,138790,28
Alzheimer’s disease (G30),< 1,0,138790,30
Hypertensive heart disease with or without renal disease (I11I13),< 1,0,138790,32
Ischemic heart diseases (I20-I25),< 1,0,138790,34
Other diseases of heart (I00-I09I26-I51),< 1,9,138790,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),< 1,0,138790,38
Cerebrovascular diseases (I60-I69),< 1,5,138790,40
Atherosclerosis (I70),< 1,0,138790,42
Other diseases of circulatory system (I71-I78),< 1,0,138790,44
Influenza and pneumonia (J09-J18),< 1,8,138790,46
Chronic lower respiratory diseases (J40-J47),< 1,2,138790,48
Peptic ulcer (K25-K28),< 1,0,138790,50
Chronic liver disease and cirrhosis (K70K73-K74),< 1,0,138790,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),< 1,6,138790,54
Pregnancy childbirth and the puerperium (O00-O99),< 1,0,138790,56
Certain conditions originating in the perinatal period (P00-P96),< 1,531,138790,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),< 1,214,138790,60
Sudden infant death syndrome (R95),< 1,106,138790,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),< 1,31,138790,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),< 1,76,138790,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),< 1,5,138790,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),< 1,49,138790,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),< 1,0,138790,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),< 1,14,138790,74
All other external causes (Y10-Y36Y87.2Y89),< 1,6,138790,76
Tuberculosis (A16-A19),1-4,0,579737,80
Syphilis (A50-A53),1-4,0,579737,82
Human immunodeficiency virus (HIV) disease (B20-B24),1-4,0,579737,84
Malignant neoplasm of stomach (C16),1-4,0,579737,86
Malignant neoplasms of colon rectum and anus (C18-C21),1-4,0,579737,88
Malignant neoplasm of pancreas (C25),1-4,0,579737,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),1-4,0,579737,92
Malignant neoplasm of breast (C50),1-4,0,579737,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),1-4,0,579737,96
Malignant neoplasm of prostate (C61),1-4,0,579737,98
Malignant neoplasms of urinary tract (C64-C68),1-4,0,579737,100
Non-Hodgkin’s lymphoma (C82-C85),1-4,1,579737,102
Leukemia (C91-C95),1-4,3,579737,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),1-4,8,579737,106
Diabetes mellitus (E10-E14),1-4,0,579737,108
Alzheimer’s disease (G30),1-4,0,579737,110
Hypertensive heart disease with or without renal disease (I11I13),1-4,0,579737,112
Ischemic heart diseases (I20-I25),1-4,1,579737,114
Other diseases of heart (I00-I09I26-I51),1-4,6,579737,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),1-4,0,579737,118
Cerebrovascular diseases (I60-I69),1-4,3,579737,120
Atherosclerosis (I70),1-4,0,579737,122
Other diseases of circulatory system (I71-I78),1-4,0,579737,124
Influenza and pneumonia (J09-J18),1-4,5,579737,126
Chronic lower respiratory diseases (J40-J47),1-4,1,579737,128
Peptic ulcer (K25-K28),1-4,0,579737,130
Chronic liver disease and cirrhosis (K70K73-K74),1-4,0,579737,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),1-4,0,579737,134
Pregnancy childbirth and the puerperium (O00-O99),1-4,0,579737,136
Certain conditions originating in the perinatal period (P00-P96),1-4,2,579737,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),1-4,30,579737,140
Sudden infant death syndrome (R95),1-4,0,579737,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),1-4,8,579737,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),1-4,37,579737,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1-4,14,579737,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),1-4,43,579737,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),1-4,0,579737,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),1-4,16,579737,154
All other external causes (Y10-Y36Y87.2Y89),1-4,7,579737,156
Tuberculosis (A16-A19),5-14,0,1519193,160
Syphilis (A50-A53),5-14,0,1519193,162
Human immunodeficiency virus (HIV) disease (B20-B24),5-14,0,1519193,164
Malignant neoplasm of stomach (C16),5-14,0,1519193,166
Malignant neoplasms of colon rectum and anus (C18-C21),5-14,0,1519193,168
Malignant neoplasm of pancreas (C25),5-14,0,1519193,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),5-14,1,1519193,172
Malignant neoplasm of breast (C50),5-14,0,1519193,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),5-14,0,1519193,176
Malignant neoplasm of prostate (C61),5-14,0,1519193,178
Malignant neoplasms of urinary tract (C64-C68),5-14,3,1519193,180
Non-Hodgkin’s lymphoma (C82-C85),5-14,1,1519193,182
Leukemia (C91-C95),5-14,6,1519193,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),5-14,24,1519193,186
Diabetes mellitus (E10-E14),5-14,2,1519193,188
Alzheimer’s disease (G30),5-14,0,1519193,190
Hypertensive heart disease with or without renal disease (I11I13),5-14,0,1519193,192
Ischemic heart diseases (I20-I25),5-14,1,1519193,194
Other diseases of heart (I00-I09I26-I51),5-14,13,1519193,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),5-14,0,1519193,198
Cerebrovascular diseases (I60-I69),5-14,5,1519193,200
Atherosclerosis (I70),5-14,0,1519193,202
Other diseases of circulatory system (I71-I78),5-14,0,1519193,204
Influenza and pneumonia (J09-J18),5-14,3,1519193,206
Chronic lower respiratory diseases (J40-J47),5-14,1,1519193,208
Peptic ulcer (K25-K28),5-14,0,1519193,210
Chronic liver disease and cirrhosis (K70K73-K74),5-14,0,1519193,212
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),5-14,1,1519193,214
Pregnancy childbirth and the puerperium (O00-O99),5-14,0,1519193,216
Certain conditions originating in the perinatal period (P00-P96),5-14,1,1519193,218
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),5-14,10,1519193,220
Sudden infant death syndrome (R95),5-14,0,1519193,222
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),5-14,4,1519193,224
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),5-14,42,1519193,226
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),5-14,25,1519193,228
